"店铺","账号","视频标题","视频链接","发布时间","时长秒","播放量","点赞数","评论数","分享数","收藏数","互动率"
"ETCYY-US","etcyylooks","#ContrastPanelSweater #RibbedKnitTop #LongSleeveWorkShirt #DesignerLa...","https://www.tiktok.com/@MS4wLjABAAAADN4bHzuz0PCRGRcv7_0WFFbcB8MFIjAUxm-kcIWbHF-MM0aJ3NDRBv8YjN8WLJ5D/video/7680103117085543694","2026-08-31T21:08:00+08:00","15","36","0","0","0","0","0"
"ETCYY-US","etcyy.dressup","#ootd#UniqueDesignShirt #WomensFashionBlouse#NavyBlueLayeredBlouse","https://www.tiktok.com/@MS4wLjABAAAAslEi_1sYHkbThsHqrWa75z0z-JZSMtjOhC5Sm0sHW62rv4fEXEi-Zf6ZBJU-cw7E/video/7679396291100544270","2026-08-29T20:50:00+08:00","15","35","0","0","0","0","0"
"ETCYY-US","etcyy.daily","#ootd #tiktokshop #denimfashion #streetwearstyle","https://www.tiktok.com/@MS4wLjABAAAAIn9Zn1XR3yoPHf7kI7b0dNMyczGiKiCXWt5uQC6k58sBwWdTeJeAX0uzcfrXFpcE/video/7681974695343770910","2026-09-05T18:35:00+08:00","15","35","0","0","0","0","0"
"ETCYY-US","etcyy.lookbook","#tiktok #tiktokshop #ootd ","https://www.tiktok.com/@MS4wLjABAAAAB7ADPXI4N-HH1kKQPqRQpjW4QtjQqIyrM58InkyoFYDSQvaMkewMEw7yVlkLy41g/video/7678231976762985759","2026-08-26T17:31:00+08:00","15","35","0","0","0","0","0"
"ETCYY-US","etcyyfashion.us","#ootd #tiktokshop #womensfashion #summeroutfit","https://www.tiktok.com/@MS4wLjABAAAAp926TyS2DAQENQPGFLeFUMmbKXdhwNitFIkicm5Aw5Ep27vC7G5qDsoD_An3R6JY/video/7681985343729487117","2026-09-05T20:17:00+08:00","15","35","0","0","0","0","0"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool #fyp ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7676912838320999694","2026-08-23T01:43:05+08:00","15","35","0","0","0","0","0"
"ETCYY-US","etcyy.style","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAQ3FFLKyG0bIqEGSl9sECwwUSBa9ardtZjxuurrr8cU1J7aq2bG_vJhHFQ5YOavmm/video/7681619559526321422","2026-09-04T20:38:00+08:00","15","34","0","0","0","0","0"
"ETCYY-US","etcyy.style","#WorkFromHomeBlouse #CozyWorkWear #WomensLongSleeveTop #BusinessCasua...","https://www.tiktok.com/@MS4wLjABAAAAQ3FFLKyG0bIqEGSl9sECwwUSBa9ardtZjxuurrr8cU1J7aq2bG_vJhHFQ5YOavmm/video/7679393517948472589","2026-08-29T20:39:00+08:00","15","34","0","0","0","0","0"
"ETCYY","etcyychic","last call for summer vibes!#swimwear #SwimsuitKiller #onepieceswimsui...","https://www.tiktok.com/@MS4wLjABAAAA67cypz92QYqZmYg6fDgoLRPkXFvwonvRMfQTgbnU5iceQDLjyEX97uDleqIj141n/video/7681226469913201951","2026-09-03T16:43:02+08:00","12","34","0","0","0","0","0"
"ETCYY-US","etcyyus","cowgirl#shirts #cowgirl #ootd #DealsForYouDays","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7676786573517540639","2026-08-22T17:33:39+08:00","13","33","0","0","0","0","0"
